path,artifact_family,period_coverage,size_bytes,sha256,row_count,column_count,schema_hash_header_sha256,producer,commit_evidence,status,availability,inspection_note
artifacts/models/clf4_2005-11-15_ARG,staged_model,2005,560938,36267467f37543f1245d66b8d0615ab285a3108a3ae2e2b5953ce3114eb78963,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2006-02-15_ARG,staged_model,2006,588514,e168d59c261831c7b90280604d90155b928d28136fe0b73f42db85065f13199e,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2006-05-15_ARG,staged_model,2006,563828,38b0ca415bf1271e1d5e96af8c15a83cb7099d8e9a36afa318155b3150654d1d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2006-08-15_ARG,staged_model,2006,696756,9aae8f474a47b713c26094c7b31c9681cb706c701c9ca12e831589c68e2f7868,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2006-11-15_ARG,staged_model,2006,646634,eed0d87797a294d3d471963dc7717592982f70f2d3dbeb5c60832da10fc4ce42,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2007-02-15_ARG,staged_model,2007,715976,23dd0bd78eead5ce20511d426a1b63d61ee35f5c32d2834803a6c1b83f0444ec,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2007-05-15_ARG,staged_model,2007,702804,0f413c5486549fdeb749bffc970c51ee2ba1216dac89f8508280234a5be9872e,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2007-11-15_ARG,staged_model,2007,711481,9e6f78dff7c6071461f2b5d7ad1e465b263f158aa71f5176471cf429b19b883d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2008-02-15_ARG,staged_model,2008,683866,e22de68da1aa6cf302c891372028bc5dd202b26d3b5092a9271ee0f7eaa4a322,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2008-05-15_ARG,staged_model,2008,634325,8d6401ed3eeb01bb6b27eeb6ade5e4836684c9180ca07ac7aa92da4def49f632,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2008-08-15_ARG,staged_model,2008,718530,3f082d2d9dde3bb5ef4090067e703709ce979f7eec831173d3013de70c1a033a,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2008-11-15_ARG,staged_model,2008,691976,61fb7ce0d3cafe1587324eae46e53b52f6e2e1871631a937b1a264065566cbae,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2009-02-15_ARG,staged_model,2009,711367,703437f2d1b7c2fd1fb0604cce53f5736ac401050532462ce4cd7e2d01fa13d9,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2009-05-15_ARG,staged_model,2009,647037,0f48c0e4b13becc008f597a8f2f3b3e85ce55939bf18251eb05d5483ec04c992,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2009-08-15_ARG,staged_model,2009,705976,ee2c33a264ac3fe53ce66296c0e8a9289de247e61559879b48d9604d15982025,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2009-11-15_ARG,staged_model,2009,687773,ab27169e4b664b89026b69015bfede4147d8c71b70510c53aef58b5c3a83687d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2010-02-15_ARG,staged_model,2010,705342,35a0aa4ffdfc2bcbef665d184606afe913a21af919bab1ecfe70f8c40372c960,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2010-05-15_ARG,staged_model,2010,702243,c7f2410695c503cdb9d93c4f55688ef2fbd9cae8a421fd6bff43a9444d50f5f9,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
