,index
1967-03-15,1.3951715e-10
1967-04-15,1.4120925e-10
1967-05-15,1.4255642e-10
1967-06-15,1.4876221e-10
1967-07-15,1.5618937e-10
1967-08-15,1.567209e-10
1967-09-15,1.5744184e-10
1967-10-15,1.6195552e-10
1967-11-15,1.6568466000000002e-10
1967-12-15,1.7859522e-10
1968-01-15,1.7245305e-10
1968-02-15,1.7414516e-10
1968-03-15,1.7301709e-10
1968-04-15,1.7229613999999998e-10
1968-05-15,1.7248417e-10
1968-06-15,1.730821e-10
1968-07-15,1.72986e-10
1968-08-15,1.7326872e-10
1968-09-15,1.7568176000000002e-10
1968-10-15,1.7912817e-10
1968-11-15,1.7972329e-10
1968-12-15,1.9567458999999998e-10
1969-01-15,1.8664861e-10
1969-02-15,1.8414228e-10
1969-03-15,1.8621041000000001e-10
1969-04-15,1.8639841e-10
1969-05-15,1.8382843999999998e-10
1969-06-15,1.8564636000000002e-10
1969-07-15,1.8812162e-10
1969-08-15,1.8671223e-10
1969-09-15,1.9019115e-10
1969-10-15,1.9307352e-10
1969-11-15,1.944518e-10
1969-12-15,2.0871097e-10
1970-01-15,1.9887077e-10
1970-02-15,2.0156654e-10
1970-03-15,2.0416761e-10
1970-04-15,2.057339e-10
1970-05-15,2.0725495e-10
1970-06-15,2.0877458e-10
1970-07-15,2.1134314e-10
1970-08-15,2.1372507999999997e-10
1970-09-15,2.1808186e-10
1970-10-15,2.2673038e-10
1970-11-15,2.3259123999999999e-10
1970-12-15,2.5408955e-10
1971-01-15,2.533686e-10
1971-02-15,2.6182911000000003e-10
1971-03-15,2.645871e-10
1971-04-15,2.6696906e-10
1971-05-15,2.7345615e-10
1971-06-15,2.8198027e-10
1971-07-15,2.9410771e-10
1971-08-15,3.0181618e-10
1971-09-15,3.0454302999999997e-10
1971-10-15,3.0767563e-10
1971-11-15,3.1598207e-10
1971-12-15,3.5349385e-10
1972-01-15,3.7192038e-10
1972-02-15,3.853568e-10
1972-03-15,4.0166008999999997e-10
1972-04-15,4.2124579000000003e-10
1972-05-15,4.280156e-10
1972-06-15,4.5154955e-10
1972-07-15,4.7395682e-10
1972-08-15,4.733616799999999e-10
1972-09-15,4.8495619e-10
1972-10-15,5.0842791e-10
1972-11-15,5.3321714e-10
1972-12-15,5.8025534e-10
1973-01-15,6.070801599999999e-10
1973-02-15,6.5302275e-10
1973-03-15,7.091179900000001e-10
1973-04-15,7.408000900000001e-10
1973-05-15,7.664345799999999e-10
1973-06-15,7.4393403e-10
1973-07-15,7.438718e-10
1973-08-15,7.4982598e-10
1973-09-15,7.537431200000001e-10
1973-10-15,7.6543238e-10
1973-11-15,7.7151097e-10
1973-12-15,8.3421769e-10
1974-01-15,7.864953099999999e-10
1974-02-15,7.9880647e-10
1974-03-15,8.0830176e-10
1974-04-15,8.3124058e-10
1974-05-15,8.5891355e-10
1974-06-15,8.918184e-10
1974-07-15,9.1228763e-10
1974-08-15,9.2923547e-10
1974-09-15,9.5994779e-10
1974-10-15,9.9623676e-10
1974-11-15,1.03744524e-09
1974-12-15,1.1687521e-09
1975-01-15,1.20253751e-09
1975-02-15,1.25806443e-09
1975-03-15,1.3600995900000001e-09
1975-04-15,1.4920043e-09
1975-05-15,1.55003343e-09
1975-06-15,1.87771043e-09
1975-07-15,2.5299116100000004e-09
1975-08-15,3.09842707e-09
1975-09-15,3.433271e-09
1975-10-15,3.90684773e-09
1975-11-15,4.256647479999999e-09
1975-12-15,5.08360065e-09
1976-01-15,5.5360152e-09
1976-02-15,6.58704158e-09
1976-03-15,9.06186415e-09
1976-04-15,1.213592071e-08
1976-05-15,1.3603398409999999e-08
1976-06-15,1.39750389e-08
1976-07-15,1.4567627990000001e-08
1976-08-15,1.537098804e-08
1976-09-15,1.6993539019999998e-08
1976-10-15,1.84311908e-08
1976-11-15,1.989711329e-08
1976-12-15,2.275163524e-08
1977-01-15,2.457916182e-08
1977-02-15,2.6608129030000002e-08
1977-03-15,2.861603399e-08
1977-04-15,3.0336124719999996e-08
1977-05-15,3.230670842e-08
1977-06-15,3.477729393e-08
1977-07-15,3.733396525e-08
1977-08-15,4.156676425e-08
1977-09-15,4.501556816e-08
1977-10-15,5.0639510360000006e-08
1977-11-15,5.5216528239999995e-08
1977-12-15,5.925326008e-08
1978-01-15,6.71681093e-08
1978-02-15,7.133546376e-08
1978-03-15,7.810670155e-08
1978-04-15,8.675663565e-08
1978-05-15,9.429687252999999e-08
1978-06-15,1.0041785004e-07
1978-07-15,1.0704348341e-07
1978-08-15,1.154008018e-07
1978-09-15,1.2277706674e-07
1978-10-15,1.347560783e-07
1978-11-15,1.4660643899000002e-07
1978-12-15,1.5989162705e-07
1979-01-15,1.8031136050999998e-07
1979-02-15,1.9373226223e-07
1979-03-15,2.0874631446e-07
1979-04-15,2.2336172378000002e-07
